path,collection,edition,series,filename
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/13-Bourtange-2.jpg,waterstaatskaarten,1e,eerste-editie,13-Bourtange-2
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/14-Medemblik-1-1867.jpg,waterstaatskaarten,1e,eerste-editie,14-Medemblik-1-1867
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/14-Medemblik-2.jpg,waterstaatskaarten,1e,eerste-editie,14-Medemblik-2
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/14-Medemblik-3.jpg,waterstaatskaarten,1e,eerste-editie,14-Medemblik-3
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/14-Medemblik-4.jpg,waterstaatskaarten,1e,eerste-editie,14-Medemblik-4
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/15-Stavoren-1.jpg,waterstaatskaarten,1e,eerste-editie,15-Stavoren-1
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/15-Stavoren-2.jpg,waterstaatskaarten,1e,eerste-editie,15-Stavoren-2
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/15-Stavoren-3.jpg,waterstaatskaarten,1e,eerste-editie,15-Stavoren-3
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/16-Steenwijk-1.jpg,waterstaatskaarten,1e,eerste-editie,16-Steenwijk-1
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/16-Steenwijk-2.jpg,waterstaatskaarten,1e,eerste-editie,16-Steenwijk-2
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/16-Steenwijk-3.jpg,waterstaatskaarten,1e,eerste-editie,16-Steenwijk-3
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/16-Steenwijk-4.jpg,waterstaatskaarten,1e,eerste-editie,16-Steenwijk-4
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/17-Beilen-1.jpg,waterstaatskaarten,1e,eerste-editie,17-Beilen-1
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/17-Beilen-2.jpg,waterstaatskaarten,1e,eerste-editie,17-Beilen-2
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/17-Beilen-3.jpg,waterstaatskaarten,1e,eerste-editie,17-Beilen-3
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/17-Beilen-4.jpg,waterstaatskaarten,1e,eerste-editie,17-Beilen-4
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/18-Roswinkel-1.jpg,waterstaatskaarten,1e,eerste-editie,18-Roswinkel-1
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/18-Roswinkel-2.jpg,waterstaatskaarten,1e,eerste-editie,18-Roswinkel-2
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/19-Alkmaar-2.jpg,waterstaatskaarten,1e,eerste-editie,19-Alkmaar-2
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/19-Alkmaar-3.jpg,waterstaatskaarten,1e,eerste-editie,19-Alkmaar-3
